Subject,MAE (m)_GRU,RMSE (m)_GRU,Actual distance (m),Predicted distance (m),Absolute diff (m),Relative error (%),Actual Distance (m),Predicted Distance (m),Absolute Diff (m),Relative Error (%),RMSE (m)_Kalman,MAE (m)_Kalman
10_0,6.54,7.47,432.86,420.81,12.06,2.79,443.7421089591658,447.4245776953519,3.682468736186081,0.8298668667762046,1.0134052270027696,0.9672959350581596
10_10,5.97,6.74,157.71,170.83,13.12,8.32,183.98304110068852,186.52357867615444,2.5405375754658905,1.380854213663926,1.0142528566759574,0.9297901224512422
10_12,11.34,11.61,227.34,241.84,14.5,6.38,279.54607071108865,287.5353027324857,7.989232021397072,2.8579303586971028,1.0641004625318842,0.8645732366754529
10_14,13.63,15.45,375.91,382.81,6.9,1.84,365.6039771078573,366.6975665587648,1.0935894509075297,0.2991185871550047,0.8905007657296696,0.7364518002294996
10_16,64.65,72.78,157.6,260.07,102.47,65.02,176.26400453367512,185.5923405986067,9.328336064931593,5.292252431011471,0.2766668625908584,0.1903518004890022
10_2,31.1,32.8,411.38,388.46,22.92,5.57,547.435249444592,549.7180574448734,2.2828080002813067,0.4170005498545007,0.9551983789506951,0.8993237388763519
10_5,24.8,27.74,441.97,401.88,40.09,9.07,514.0181989010886,515.3134738990444,1.2952749979558575,0.2519901047715831,1.2805227326018398,1.2358424557361531
10_6,10.98,13.43,472.58,467.44,5.14,1.09,633.0662134098528,634.9027036685465,1.8364902586936296,0.2900944987731748,1.664838535282168,1.6105472590414232
10_8,5.92,7.75,231.59,249.22,17.63,7.61,260.1547220347376,261.6539686806363,1.4992466458987224,0.5762903837273163,1.015685622781849,0.9396957389769582
11_0,24.95,28.08,468.64,423.11,45.53,9.72,570.1367000591837,573.3460820569425,3.2093819977587827,0.5629144725160876,1.3078507305667255,1.2481798377326772
11_10,10.5,11.31,390.67,397.35,6.67,1.71,301.23847657539795,302.5854257335833,1.3469491581853958,0.4471371564144341,1.035368568616713,0.9525688306115366
11_12,10.18,11.14,349.89,358.67,8.79,2.51,399.0321086452672,404.4732078872043,5.441099241937138,1.3635742899011127,1.7256373625132782,1.3964057134365266
11_14,70.24,76.86,224.25,329.33,105.08,46.86,173.01771954322493,174.45577386540245,1.4380543221775213,0.8311601412699541,0.2151453741354335,0.1676094124857578
11_2,14.34,15.93,434.08,408.8,25.29,5.83,508.8333793714004,511.72293163653904,2.8895522651386614,0.5678778913263001,1.437640317013429,1.260840499323744
11_5,6.66,7.75,489.56,471.02,18.54,3.79,494.5840950936082,495.5085386007096,0.9244435071014436,0.1869133108549472,0.7701810781046308,0.74697810265312
11_6,5.88,6.39,417.68,418.82,1.14,0.27,342.2986440664589,343.5333182308004,1.2346741643414705,0.3607008633378496,1.1808107221202566,1.1013440869899964
11_8,27.29,30.69,250.22,294.74,44.52,17.79,273.1096811516477,276.32198056203384,3.2122994103861515,1.1761939001358508,1.1126423204688876,1.0100774866415756
12_0,30.71,34.97,443.89,391.81,52.08,11.73,502.6266501688604,504.66182353964143,2.035173370781081,0.4049075730658835,1.1723934273048149,1.111542680735274
12_1,8.35,10.27,402.06,387.7,14.36,3.57,402.6414982441754,403.84569143300286,1.2041931888274462,0.299073293259301,1.1865218371616122,1.1344063870236591
12_10,8.26,9.72,260.27,256.73,3.54,1.36,350.2524336654519,354.9945454611073,4.742111795655433,1.3539125898508162,2.214940306384207,1.7334830145309006
12_11,6.66,8.97,261.23,263.44,2.21,0.85,267.03368967455265,270.86544534200544,3.831755667452797,1.4349334243640754,1.9358917221934475,1.495549696055304
12_12,54.08,60.02,253.75,337.68,83.93,33.08,198.9668237605541,199.59655184917025,0.6297280886161332,0.3164990407516266,0.1547759257461113,0.1243296118164962
12_13,68.94,76.28,143.81,247.53,103.72,72.12,143.71306287360392,145.8615019698046,2.14843909620069,1.4949504611771085,0.2138423291037982,0.177749918756396
12_2,40.91,45.19,426.23,370.43,55.8,13.09,536.2966075483251,537.4224959026528,1.1258883543276852,0.2099376237852171,0.9316694512622076,0.8662402520427761
12_3,13.01,14.31,413.25,395.63,17.62,4.26,465.94374640403527,467.19180091118153,1.2480545071462643,0.2678551899833923,1.0705251118856638,0.9732991769606184
12_4,6.02,7.15,282.08,285.25,3.16,1.12,331.3305883700822,333.4733855026405,2.1427971325583144,0.6467248143612087,1.459538588406579,1.3219202908366752
12_5,5.34,6.34,254.06,264.63,10.58,4.16,261.308275460722,264.4217338975197,3.113458436797714,1.1914886473871769,1.9478406320437032,1.7446629458356009
12_6,4.04,4.87,250.65,255.25,4.6,1.83,255.48934135071485,260.01926407437657,4.529922723661713,1.7730378495294663,1.811178040663885,1.6091574212791957
12_7,8.04,10.55,236.35,252.08,15.72,6.65,239.39831972251503,242.4606529957736,3.0623332732585595,1.2791791006754305,1.681758441025199,1.520099613354539
12_8,13.86,17.02,299.77,272.6,27.17,9.06,326.2008542217629,328.0411378636402,1.8402836418773063,0.5641565980162077,1.0275937577324052,0.9402768683448768
12_9,4.55,4.91,223.62,223.9,0.28,0.13,238.421102567839,241.3324545558729,2.9113519880339425,1.2210966045698757,1.856416360722517,1.709482657812131
13_0,29.49,32.07,407.82,445.06,37.23,9.13,449.2341993798855,453.2305491614168,3.996349781531308,0.889591617701367,1.461151118408616,1.4128278501252012
