,ms,distance
0,256.0,0.0
1,1668.0,1.0
2,2840.0,2.0
3,3807.0,3.0
4,4843.0,4.0
5,5720.0,5.0
6,6556.0,6.0
7,7294.0,7.0
8,8061.0,8.0
9,8894.0,9.0
10,9707.0,10.0
11,10490.0,11.0
12,11197.0,12.0
13,11928.0,13.0
14,12695.0,14.0
15,13413.0,15.0
16,14181.0,16.0
17,14898.0,17.0
18,15709.0,18.0
19,16475.0,19.0
20,17193.0,20.0
21,17958.0,21.0
22,18658.0,22.0
23,19401.0,23.0
24,20167.0,24.0
25,20975.0,25.0
26,21630.0,26.0
27,22416.0,27.0
28,23135.0,28.0
29,23948.0,29.0
30,24662.0,30.0
31,25382.0,31.0
32,26148.0,32.0
33,26871.0,33.0
34,27546.0,34.0
35,28356.0,35.0
36,29120.0,36.0
37,29887.0,37.0
38,30602.0,38.0
39,31368.0,39.0
40,32269.0,40.0
41,32898.0,41.0
42,33572.0,42.0
43,34338.0,43.0
44,35106.0,44.0
45,35822.0,45.0
46,36634.0,46.0
47,37353.0,47.0
48,38053.0,48.0
49,38838.0,49.0
50,39605.0,50.0
51,40283.0,51.0
52,41071.0,52.0
53,41833.0,53.0
54,42620.0,54.0
55,43317.0,55.0
56,44082.0,56.0
57,44823.0,57.0
58,45632.0,58.0
59,46333.0,59.0
60,47009.0,60.0
61,47772.0,61.0
62,48559.0,62.0
63,49257.0,63.0
64,50048.0,64.0
65,50788.0,65.0
66,51573.0,66.0
67,52430.0,67.0
68,53058.0,68.0
69,53826.0,69.0
70,54588.0,70.0
71,55264.0,71.0
72,56012.0,72.0
73,56730.0,73.0
74,57542.0,74.0
75,58233.0,75.0
76,59001.0,76.0
77,59742.0,77.0
78,60484.0,78.0
79,61208.0,79.0
80,62013.0,80.0
81,62779.0,81.0
82,63499.0,82.0
83,64287.0,83.0
84,65053.0,84.0
85,65796.0,85.0
86,66516.0,86.0
87,67273.0,87.0
88,68044.0,88.0
89,68810.0,89.0
90,69532.0,90.0
91,70339.0,91.0
92,71057.0,92.0
93,71778.0,93.0
94,72542.0,94.0
95,73244.0,95.0
96,73982.0,96.0
97,74772.0,97.0
98,75493.0,98.0
99,76235.0,99.0
100,76956.0,100.0
101,77675.0,101.0
102,78392.0,102.0
103,79113.0,103.0
104,79834.0,104.0
105,80602.0,105.0
106,81322.0,106.0
107,82083.0,107.0
108,82804.0,108.0
109,83524.0,109.0
110,84334.0,110.0
111,84987.0,111.0
112,85773.0,112.0
113,86428.0,113.0
114,87212.0,114.0
115,87976.0,115.0
116,88652.0,116.0
117,89374.0,117.0
118,90139.0,118.0
119,90904.0,119.0
120,91623.0,120.0
121,92342.0,121.0
122,93019.0,122.0
123,93783.0,123.0
124,94528.0,124.0
125,95269.0,125.0
126,95944.0,126.0
127,96643.0,127.0
128,97383.0,128.0
129,98060.0,129.0
130,98826.0,130.0
131,99587.0,131.0
132,100311.0,132.0
133,101074.0,133.0
134,101839.0,134.0
135,102603.0,135.0
136,103323.0,136.0
137,104044.0,137.0
138,104854.0,138.0
139,105620.0,139.0
140,106274.0,140.0
141,107103.0,141.0
142,107920.0,142.0
143,108633.0,143.0
144,109402.0,144.0
145,110074.0,145.0
146,110705.0,146.0
147,111423.0,147.0
148,112098.0,148.0
149,112865.0,149.0
150,113587.0,150.0
151,114257.0,151.0
152,115069.0,152.0
153,115789.0,153.0
154,116463.0,154.0
155,117138.0,155.0
156,117903.0,156.0
157,118602.0,157.0
158,119480.0,158.0
159,120290.0,159.0
160,121007.0,160.0
161,121773.0,161.0
162,122492.0,162.0
163,123258.0,163.0
164,124002.0,164.0
165,124813.0,165.0
166,125598.0,166.0
167,126321.0,167.0
168,126993.0,168.0
169,127692.0,169.0
170,128434.0,170.0
171,129153.0,171.0
172,129918.0,172.0
173,130683.0,173.0
174,131384.0,174.0
175,132169.0,175.0
176,132867.0,176.0
177,133654.0,177.0
178,134420.0,178.0
179,135228.0,179.0
180,135901.0,180.0
181,136647.0,181.0
182,137369.0,182.0
183,138135.0,183.0
184,138919.0,184.0
185,139640.0,185.0
186,140338.0,186.0
187,141258.0,187.0
188,141889.0,188.0
189,142698.0,189.0
190,143463.0,190.0
191,144231.0,191.0
192,145040.0,192.0
193,145760.0,193.0
194,146571.0,194.0
195,147334.0,195.0
196,148077.0,196.0
197,148863.0,197.0
198,149583.0,198.0
199,150350.0,199.0
200,151113.0,200.0
201,151922.0,201.0
202,152734.0,202.0
203,153498.0,203.0
204,154310.0,204.0
205,155119.0,205.0
206,155887.0,206.0
207,156694.0,207.0
208,157504.0,208.0
209,158179.0,209.0
210,158988.0,210.0
211,159753.0,211.0
212,160517.0,212.0
213,161328.0,213.0
214,162097.0,214.0
215,162906.0,215.0
216,163673.0,216.0
217,164435.0,217.0
218,165242.0,218.0
219,166009.0,219.0
220,166864.0,220.0
221,167629.0,221.0
222,168443.0,222.0
223,169247.0,223.0
224,170013.0,224.0
225,170734.0,225.0
226,171498.0,226.0
227,172309.0,227.0
228,173118.0,228.0
229,173928.0,229.0
230,174742.0,230.0
231,175549.0,231.0
232,176312.0,232.0
233,177168.0,233.0
234,177934.0,234.0
235,178700.0,235.0
236,179553.0,236.0
237,180366.0,237.0
238,181130.0,238.0
239,181985.0,239.0
240,182750.0,240.0
241,183604.0,241.0
242,184391.0,242.0
243,185159.0,243.0
244,185943.0,244.0
245,186843.0,245.0
246,187633.0,246.0
247,188419.0,247.0
248,189212.0,248.0
249,189949.0,249.0
250,190647.0,250.0
251,191435.0,251.0
252,192291.0,252.0
253,193099.0,253.0
254,193820.0,254.0
255,194585.0,255.0
256,195393.0,256.0
257,196164.0,257.0
258,196903.0,258.0
259,197688.0,259.0
260,198500.0,260.0
261,199263.0,261.0
262,200119.0,262.0
263,200861.0,263.0
264,201601.0,264.0
265,202349.0,265.0
266,203087.0,266.0
267,203853.0,267.0
268,204573.0,268.0
269,205318.0,269.0
270,206149.0,270.0
271,206914.0,271.0
272,207768.0,272.0
273,208669.0,273.0
274,209255.0,274.0
275,209882.0,275.0
276,210648.0,276.0
277,211412.0,277.0
278,212179.0,278.0
279,212989.0,279.0
280,213753.0,280.0
281,214564.0,281.0
282,215376.0,282.0
283,216273.0,283.0
284,217172.0,284.0
285,217805.0,285.0
286,218568.0,286.0
287,219381.0,287.0
288,220060.0,288.0
289,220862.0,289.0
290,221628.0,290.0
291,222439.0,291.0
292,223203.0,292.0
293,223971.0,293.0
294,224779.0,294.0
295,225501.0,295.0
296,226263.0,296.0
297,226983.0,297.0
298,227708.0,298.0
299,228468.0,299.0
300,229192.0,300.0
301,229909.0,301.0
302,230763.0,302.0
303,231574.0,303.0
304,232387.0,304.0
305,233150.0,305.0
306,233868.0,306.0
307,234589.0,307.0
308,235400.0,308.0
309,236210.0,309.0
310,237066.0,310.0
311,237830.0,311.0
312,238593.0,312.0
313,239403.0,313.0
314,240171.0,314.0
315,240979.0,315.0
316,241743.0,316.0
317,242507.0,317.0
318,243318.0,318.0
319,244066.0,319.0
320,244919.0,320.0
321,245748.0,321.0
322,246558.0,322.0
323,247325.0,323.0
324,248133.0,324.0
325,248943.0,325.0
326,249797.0,326.0
327,250564.0,327.0
328,251331.0,328.0
329,252078.0,329.0
330,252860.0,330.0
331,253601.0,331.0
332,254343.0,332.0
333,255155.0,333.0
334,255964.0,334.0
335,256773.0,335.0
336,257539.0,336.0
337,258349.0,337.0
338,259115.0,338.0
339,259880.0,339.0
340,260734.0,340.0
341,261457.0,341.0
342,262157.0,342.0
343,262963.0,343.0
344,263793.0,344.0
345,264563.0,345.0
346,265324.0,346.0
347,266178.0,347.0
348,266942.0,348.0
349,267753.0,349.0
350,268564.0,350.0
351,269378.0,351.0
352,270184.0,352.0
353,270993.0,353.0
354,271805.0,354.0
355,272613.0,355.0
356,273425.0,356.0
357,274143.0,357.0
358,274952.0,358.0
359,275764.0,359.0
360,276483.0,360.0
361,277340.0,361.0
362,278103.0,362.0
363,278869.0,363.0
364,279636.0,364.0
365,280444.0,365.0
366,281254.0,366.0
367,282063.0,367.0
368,282830.0,368.0
369,283596.0,369.0
370,284404.0,370.0
371,285124.0,371.0
372,285935.0,372.0
373,286743.0,373.0
374,287511.0,374.0
375,288320.0,375.0
376,289085.0,376.0
377,289829.0,377.0
378,290706.0,378.0
379,291470.0,379.0
380,292232.0,380.0
381,293041.0,381.0
382,293809.0,382.0
383,294527.0,383.0
384,295384.0,384.0
385,296193.0,385.0
386,296915.0,386.0
387,297722.0,387.0
388,298533.0,388.0
389,299252.0,389.0
390,300019.0,390.0
391,300830.0,391.0
392,301549.0,392.0
393,302316.0,393.0
394,303080.0,394.0
395,303780.0,395.0
396,304589.0,396.0
397,305373.0,397.0
398,306117.0,398.0
399,306975.0,399.0
400,307668.0,400.0
401,308390.0,401.0
402,309109.0,402.0
403,309830.0,403.0
404,310684.0,404.0
405,311402.0,405.0
406,312167.0,406.0
407,313024.0,407.0
408,313747.0,408.0
409,314510.0,409.0
410,315319.0,410.0
411,316063.0,411.0
412,316848.0,412.0
413,317659.0,413.0
414,318492.0,414.0
415,319167.0,415.0
416,319953.0,416.0
417,320673.0,417.0
418,321485.0,418.0
419,322183.0,419.0
420,322901.0,420.0
421,323732.0,421.0
422,324480.0,422.0
423,325265.0,423.0
424,326032.0,424.0
425,326839.0,425.0
426,327607.0,426.0
427,328368.0,427.0
428,329123.0,428.0
429,329852.0,429.0
430,330619.0,430.0
431,331383.0,431.0
432,332103.0,432.0
433,332829.0,433.0
434,333594.0,434.0
435,334356.0,435.0
436,335119.0,436.0
437,335928.0,437.0
438,336693.0,438.0
439,337483.0,439.0
440,338269.0,440.0
441,339041.0,441.0
442,339800.0,442.0
443,340566.0,443.0
444,341331.0,444.0
445,342138.0,445.0
446,342947.0,446.0
447,343712.0,447.0
448,344480.0,448.0
449,345202.0,449.0
450,345968.0,450.0
451,346773.0,451.0
452,347583.0,452.0
453,348305.0,453.0
454,349068.0,454.0
455,349835.0,455.0
456,350645.0,456.0
457,351454.0,457.0
458,352219.0,458.0
459,352983.0,459.0
460,353795.0,460.0
461,354519.0,461.0
462,355369.0,462.0
463,356087.0,463.0
464,356809.0,464.0
465,357675.0,465.0
466,358475.0,466.0
467,359194.0,467.0
468,360004.0,468.0
469,360770.0,469.0
470,361534.0,470.0
471,362307.0,471.0
472,363063.0,472.0
473,363828.0,473.0
474,364574.0,474.0
475,365451.0,475.0
476,366123.0,476.0
477,366890.0,477.0
478,367699.0,478.0
479,368510.0,479.0
480,369228.0,480.0
481,369995.0,481.0
482,370801.0,482.0
483,371527.0,483.0
484,372288.0,484.0
485,373036.0,485.0
486,373820.0,486.0
487,374630.0,487.0
488,375439.0,488.0
489,376208.0,489.0
490,376967.0,490.0
491,377780.0,491.0
492,378589.0,492.0
493,379399.0,493.0
494,380163.0,494.0
495,380929.0,495.0
496,381695.0,496.0
497,382460.0,497.0
498,383223.0,498.0
499,383945.0,499.0
500,384752.0,500.0
501,385473.0,501.0
502,386285.0,502.0
503,387093.0,503.0
504,387859.0,504.0
505,388667.0,505.0
506,389389.0,506.0
507,390198.0,507.0
508,390964.0,508.0
509,391682.0,509.0
510,392494.0,510.0
511,393260.0,511.0
512,394024.0,512.0
513,394788.0,513.0
514,395599.0,514.0
515,396318.0,515.0
516,397128.0,516.0
517,397893.0,517.0
518,398622.0,518.0
519,399378.0,519.0
520,400143.0,520.0
521,400910.0,521.0
522,401675.0,522.0
523,402440.0,523.0
524,403248.0,524.0
525,404013.0,525.0
526,404735.0,526.0
527,405483.0,527.0
528,406265.0,528.0
529,407055.0,529.0
530,407793.0,530.0
531,408559.0,531.0
532,409324.0,532.0
533,410138.0,533.0
534,410899.0,534.0
535,411709.0,535.0
536,412473.0,536.0
537,413217.0,537.0
538,413982.0,538.0
539,414704.0,539.0
540,415469.0,540.0
541,416254.0,541.0
542,417020.0,542.0
543,417762.0,543.0
544,418502.0,544.0
545,419293.0,545.0
546,420106.0,546.0
547,420843.0,547.0
548,421609.0,548.0
549,422419.0,549.0
550,423182.0,550.0
551,423948.0,551.0
552,424739.0,552.0
553,425529.0,553.0
554,426319.0,554.0
555,427099.0,555.0
556,427909.0,556.0
557,428628.0,557.0
558,429394.0,558.0
559,430249.0,559.0
560,430975.0,560.0
561,431783.0,561.0
562,432590.0,562.0
563,433402.0,563.0
564,434119.0,564.0
565,434930.0,565.0
566,435738.0,566.0
567,436504.0,567.0
568,437272.0,568.0
569,438080.0,569.0
570,438822.0,570.0
571,439607.0,571.0
572,440420.0,572.0
573,441092.0,573.0
574,441904.0,574.0
575,442668.0,575.0
576,443432.0,576.0
577,444243.0,577.0
578,444964.0,578.0
579,445729.0,579.0
580,446492.0,580.0
581,447260.0,581.0
582,448067.0,582.0
583,448832.0,583.0
584,449533.0,584.0
585,450362.0,585.0
586,451128.0,586.0
587,451850.0,587.0
588,452612.0,588.0
589,453378.0,589.0
590,454187.0,590.0
591,454953.0,591.0
592,455717.0,592.0
593,456527.0,593.0
594,457339.0,594.0
595,458058.0,595.0
596,458824.0,596.0
597,459639.0,597.0
598,460401.0,598.0
599,461209.0,599.0
600,461975.0,600.0
601,462874.0,601.0
602,463638.0,602.0
603,464448.0,603.0
604,465258.0,604.0
605,466025.0,605.0
606,466787.0,606.0
607,467599.0,607.0
608,468408.0,608.0
609,469218.0,609.0
610,469984.0,610.0
611,470750.0,611.0
612,471561.0,612.0
613,472369.0,613.0
614,473133.0,614.0
615,473946.0,615.0
616,474753.0,616.0
617,475568.0,617.0
618,476335.0,618.0
619,477141.0,619.0
620,477912.0,620.0
621,478669.0,621.0
622,479388.0,622.0
623,480200.0,623.0
624,481011.0,624.0
625,481709.0,625.0
626,482583.0,626.0
627,483290.0,627.0
628,484069.0,628.0
629,484811.0,629.0
630,485623.0,630.0
631,486363.0,631.0
632,487174.0,632.0
633,488027.0,633.0
634,488794.0,634.0
635,489603.0,635.0
636,490414.0,636.0
637,491251.0,637.0
638,492012.0,638.0
639,492823.0,639.0
640,493607.0,640.0
641,494464.0,641.0
642,495272.0,642.0
643,496042.0,643.0
644,496850.0,644.0
645,497616.0,645.0
646,498449.0,646.0
647,499232.0,647.0
648,499978.0,648.0
649,500788.0,649.0
650,501554.0,650.0
651,502430.0,651.0
652,503238.0,652.0
653,504003.0,653.0
654,504769.0,654.0
655,505578.0,655.0
656,506369.0,656.0
657,507135.0,657.0
658,507963.0,658.0
659,508709.0,659.0
660,509519.0,660.0
661,510396.0,661.0
662,511157.0,662.0
663,511879.0,663.0
664,512734.0,664.0
665,513500.0,665.0
666,514312.0,666.0
667,515117.0,667.0
668,515839.0,668.0
669,516605.0,669.0
670,517324.0,670.0
671,518113.0,671.0
672,518854.0,672.0
673,519623.0,673.0
674,520430.0,674.0
675,521221.0,675.0
676,522028.0,676.0
677,522813.0,677.0
678,523624.0,678.0
679,524392.0,679.0
680,525206.0,680.0
681,525918.0,681.0
682,526706.0,682.0
