,ms,abs,alpha,beta,gamma
0,122.0,False,89.80000000000001,7.2,3.4000000000000004
1,172.0,False,89.7,6.7,4.5
2,189.0,False,89.7,6.5,4.6000000000000005
3,210.0,False,89.60000000000001,6.300000000000001,4.800000000000001
4,223.0,False,89.60000000000001,6.4,5.0
5,306.0,False,89.7,6.300000000000001,4.7
6,323.0,False,89.80000000000001,6.2,4.6000000000000005
7,339.0,False,89.80000000000001,6.1000000000000005,4.4
8,356.0,False,89.80000000000001,6.1000000000000005,4.3
9,391.0,False,89.80000000000001,6.0,4.3
10,423.0,False,89.9,6.0,4.1000000000000005
11,439.0,False,89.9,6.1000000000000005,4.0
12,457.0,False,90.0,6.300000000000001,3.9000000000000004
13,473.0,False,90.0,6.4,3.8000000000000003
14,489.0,False,90.0,6.5,3.7
15,506.0,False,90.0,6.7,3.4000000000000004
16,523.0,False,90.0,6.7,3.3000000000000003
17,539.0,False,89.9,6.9,3.1
18,600.0,False,89.4,7.5,3.0
19,622.0,False,89.2,7.7,3.0
20,640.0,False,89.10000000000001,7.800000000000001,2.8000000000000003
21,656.0,False,88.9,7.9,2.6
22,673.0,False,88.7,7.9,2.6
23,710.0,False,88.4,8.0,2.5
24,732.0,False,88.2,7.9,2.0
25,740.0,False,88.10000000000001,7.800000000000001,1.8
26,756.0,False,88.0,7.7,1.7000000000000002
27,772.0,False,87.7,7.5,1.5
28,790.0,False,87.5,7.4,1.6
29,806.0,False,87.30000000000001,7.4,1.7000000000000002
30,822.0,False,87.2,7.7,1.8
31,840.0,False,87.2,8.0,1.7000000000000002
32,857.0,False,87.2,8.200000000000001,1.3
33,873.0,False,87.2,8.3,1.1
34,889.0,False,87.2,8.3,0.8
35,922.0,False,86.9,8.4,0.7000000000000001
36,956.0,False,86.60000000000001,8.4,0.8
37,972.0,False,86.5,8.4,0.7000000000000001
38,1006.0,False,86.2,8.3,0.5
39,1039.0,False,86.10000000000001,8.1,0.30000000000000004
40,1058.0,False,86.0,8.0,0.1
41,1072.0,False,85.9,7.9,-0.2
42,1089.0,False,85.9,7.9,-0.6000000000000001
43,1106.0,False,85.80000000000001,7.9,-0.9
44,1124.0,False,85.80000000000001,7.9,-1.4000000000000001
45,1140.0,False,85.7,7.800000000000001,-1.8
46,1174.0,False,85.5,7.9,-1.8
47,1189.0,False,85.4,8.200000000000001,-1.9000000000000001
48,1208.0,False,85.4,8.6,-2.1
49,1222.0,False,85.30000000000001,8.8,-2.2
50,1239.0,False,85.30000000000001,9.1,-2.3000000000000003
51,1256.0,False,85.2,9.3,-2.4000000000000004
52,1273.0,False,85.0,9.5,-2.5
53,1306.0,False,84.7,9.700000000000001,-2.7
54,1324.0,False,84.5,9.8,-2.8000000000000003
55,1340.0,False,84.30000000000001,9.9,-2.8000000000000003
56,1356.0,False,84.10000000000001,10.0,-2.7
57,1374.0,False,83.9,10.0,-2.6
58,1406.0,False,83.7,10.0,-2.6
59,1423.0,False,83.60000000000001,10.100000000000001,-2.7
60,1439.0,False,83.4,10.0,-2.8000000000000003
61,1472.0,False,83.2,9.8,-2.9000000000000004
62,1489.0,False,83.10000000000001,9.8,-3.1
63,1506.0,False,83.0,9.700000000000001,-3.1
64,1522.0,False,82.9,9.600000000000001,-3.2
65,1557.0,False,82.7,9.600000000000001,-3.0
66,1589.0,False,82.60000000000001,9.8,-2.8000000000000003
67,1606.0,False,82.60000000000001,10.200000000000001,-2.7
68,1623.0,False,82.60000000000001,10.3,-2.6
69,1639.0,False,82.7,10.600000000000001,-2.5
70,1656.0,False,82.80000000000001,10.8,-2.5
71,1706.0,False,83.10000000000001,10.8,-2.4000000000000004
72,1722.0,False,83.30000000000001,10.600000000000001,-2.4000000000000004
73,1739.0,False,83.4,10.5,-2.3000000000000003
74,1756.0,False,83.5,10.200000000000001,-2.0
75,1773.0,False,83.60000000000001,9.9,-1.7000000000000002
76,1789.0,False,83.60000000000001,9.600000000000001,-1.1
77,1806.0,False,83.60000000000001,9.5,-0.8
78,1822.0,False,83.7,9.3,-0.30000000000000004
79,1839.0,False,83.9,9.200000000000001,0.0
80,1856.0,False,84.0,9.1,0.0
81,1873.0,False,84.10000000000001,9.1,0.1
82,1889.0,False,84.0,9.3,0.2
83,1906.0,False,84.0,9.3,0.30000000000000004
84,1924.0,False,83.80000000000001,9.3,0.4
85,1941.0,False,83.60000000000001,9.1,0.5
86,1956.0,False,83.5,8.8,0.7000000000000001
87,1989.0,False,83.60000000000001,8.700000000000001,1.0
88,2006.0,False,84.0,9.0,1.3
89,2024.0,False,84.5,9.5,1.3
90,2040.0,False,84.80000000000001,9.8,1.3
91,2056.0,False,85.4,10.4,1.2000000000000002
92,2072.0,False,85.7,10.8,1.1
93,2089.0,False,85.80000000000001,10.9,1.1
94,2106.0,False,85.9,11.100000000000001,1.2000000000000002
95,2122.0,False,86.0,11.3,1.1
96,2140.0,False,86.2,11.5,1.0
97,2161.0,False,86.30000000000001,11.700000000000001,0.6000000000000001
98,2173.0,False,86.4,11.8,0.5
99,2189.0,False,86.4,11.9,0.1
100,2206.0,False,86.4,11.9,0.0
101,2222.0,False,86.30000000000001,11.8,-0.30000000000000004
102,2239.0,False,86.0,11.5,-0.5
103,2257.0,False,85.60000000000001,11.100000000000001,-0.6000000000000001
104,2274.0,False,85.4,10.9,-0.5
105,2289.0,False,85.0,10.600000000000001,-0.30000000000000004
106,2306.0,False,84.7,10.700000000000001,-0.1
107,2322.0,False,84.60000000000001,10.9,-0.1
108,2339.0,False,84.5,11.200000000000001,-0.4
109,2356.0,False,84.30000000000001,11.4,-0.9
110,2373.0,False,84.30000000000001,11.4,-1.1
111,2389.0,False,84.10000000000001,11.3,-1.2000000000000002
112,2408.0,False,83.9,11.100000000000001,-1.1
113,2423.0,False,83.7,11.0,-1.0
114,2456.0,False,83.60000000000001,11.0,-1.2000000000000002
115,2473.0,False,83.60000000000001,11.100000000000001,-1.5
116,2489.0,False,83.60000000000001,11.100000000000001,-1.7000000000000002
117,2506.0,False,83.60000000000001,10.9,-1.8
118,2522.0,False,83.5,10.600000000000001,-1.9000000000000001
119,2539.0,False,83.5,10.3,-2.0
120,2573.0,False,83.5,10.200000000000001,-2.1
121,2591.0,False,83.60000000000001,10.200000000000001,-2.3000000000000003
122,2622.0,False,83.7,10.4,-2.4000000000000004
123,2656.0,False,83.7,10.5,-2.6
124,2672.0,False,83.80000000000001,10.5,-2.7
125,2707.0,False,83.80000000000001,10.5,-2.8000000000000003
126,2723.0,False,83.80000000000001,10.5,-2.9000000000000004
127,2739.0,False,83.80000000000001,10.600000000000001,-3.0
128,2756.0,False,83.9,10.8,-3.2
129,2772.0,False,83.9,10.8,-3.3000000000000003
130,2789.0,False,83.80000000000001,10.600000000000001,-3.4000000000000004
131,2805.0,False,83.7,10.3,-3.4000000000000004
132,2823.0,False,83.60000000000001,10.0,-3.4000000000000004
133,2839.0,False,83.60000000000001,9.600000000000001,-3.2
134,2856.0,False,83.4,9.3,-2.8000000000000003
135,2874.0,False,83.30000000000001,8.9,-2.2
136,2890.0,False,83.10000000000001,8.700000000000001,-1.6
137,2906.0,False,83.0,8.6,-1.3
138,2923.0,False,83.0,8.6,-0.7000000000000001
139,2939.0,False,83.0,8.5,-0.5
140,2957.0,False,83.10000000000001,8.5,-0.4
141,2989.0,False,83.2,8.700000000000001,-0.5
142,3008.0,False,83.30000000000001,8.8,-0.7000000000000001
143,3030.0,False,83.5,9.1,-0.8
144,3045.0,False,83.5,9.200000000000001,-0.8
145,3056.0,False,83.7,9.5,-0.9
146,3089.0,False,83.7,9.600000000000001,-1.0
147,3156.0,False,83.5,9.700000000000001,-0.9
148,3175.0,False,83.4,9.9,-0.6000000000000001
149,3189.0,False,83.30000000000001,10.0,-0.5
150,3206.0,False,83.2,10.200000000000001,-0.4
151,3222.0,False,83.10000000000001,10.200000000000001,-0.2
152,3239.0,False,83.0,10.200000000000001,-0.1
153,3256.0,False,82.80000000000001,10.100000000000001,0.2
154,3272.0,False,82.60000000000001,9.9,0.6000000000000001
155,3289.0,False,82.4,9.8,0.9
156,3323.0,False,82.2,9.700000000000001,1.3
157,3339.0,False,82.2,9.700000000000001,1.4000000000000001
158,3389.0,False,82.10000000000001,9.5,1.8
159,3406.0,False,82.10000000000001,9.5,1.9000000000000001
160,3422.0,False,82.2,9.5,2.2
161,3439.0,False,82.30000000000001,9.4,2.5
162,3456.0,False,82.5,9.600000000000001,2.6
163,3472.0,False,82.60000000000001,9.8,2.7
164,3489.0,False,82.80000000000001,10.5,3.0
165,3508.0,False,83.10000000000001,11.200000000000001,3.4000000000000004
166,3522.0,False,83.30000000000001,11.600000000000001,3.6
167,3539.0,False,83.7,12.100000000000001,4.0
168,3564.0,False,84.5,12.4,4.3
169,3572.0,False,84.7,12.4,4.3
170,3589.0,False,84.9,12.5,4.3
171,3607.0,False,85.4,12.700000000000001,4.3
172,3622.0,False,85.80000000000001,13.0,4.2
173,3639.0,False,86.0,13.100000000000001,4.2
174,3657.0,False,86.4,13.200000000000001,4.1000000000000005
