,ms,accelX,accelY,accelZ,accelWithGX,accelWithGY,accelWithGZ,rotRateAlpha,rotRateBeta,rotRateGamma,interval
0,37.0,0.0,0.0,0.0,-2.7,0.30000000000000004,9.5,-2.7,-0.9000000000000001,0.0,16
1,54.0,-0.1,0.0,0.0,-2.7,0.30000000000000004,9.5,-2.7,-0.9000000000000001,0.0,16
2,72.0,0.0,0.0,0.0,-2.7,0.30000000000000004,9.4,-2.7,-0.9000000000000001,0.0,16
3,85.0,0.0,0.0,0.0,-2.6,0.30000000000000004,9.5,-2.7,-0.9000000000000001,0.0,16
4,102.0,0.0,0.0,0.1,-2.7,0.30000000000000004,9.5,-2.7,-0.9000000000000001,0.0,16
5,118.0,0.0,0.0,0.1,-2.6,0.30000000000000004,9.600000000000001,-2.7,-0.9000000000000001,0.0,16
6,135.0,0.0,0.0,0.2,-2.7,0.2,9.600000000000001,-2.7,-0.9000000000000001,0.0,16
7,151.0,0.0,0.0,0.30000000000000004,-2.7,0.30000000000000004,9.700000000000001,-2.7,-0.9000000000000001,0.0,16
8,168.0,-0.1,0.0,0.30000000000000004,-2.7,0.2,9.8,0.6000000000000001,-0.4,0.2,16
9,186.0,-0.1,0.0,0.4,-2.7,0.2,9.8,1.3,-1.8000000000000003,-0.7,16
10,202.0,-0.1,0.0,0.30000000000000004,-2.7,0.30000000000000004,9.700000000000001,2.3,-3.3000000000000007,-1.0,16
11,218.0,0.0,0.0,0.0,-2.6,0.30000000000000004,9.5,2.8,-2.3,-1.2000000000000002,16
12,235.0,0.0,0.1,0.0,-2.6,0.30000000000000004,9.4,2.1,-0.7,-1.6,16
13,251.0,-0.1,0.1,-0.1,-2.7,0.4,9.4,1.7,0.1,-1.7,16
14,268.0,-0.1,0.1,0.0,-2.8000000000000003,0.4,9.4,1.6,0.0,-1.0,16
15,285.0,-0.1,0.1,0.0,-2.8000000000000003,0.5,9.4,1.4,0.8,-0.1,16
16,301.0,-0.1,0.0,0.0,-2.8000000000000003,0.4,9.4,1.0,0.1,0.9000000000000001,16
17,319.0,0.0,0.0,0.0,-2.7,0.30000000000000004,9.4,-0.5,-1.3,1.1,16
18,334.0,0.1,0.0,0.0,-2.6,0.30000000000000004,9.4,-2.2,-2.1,0.4,16
19,352.0,0.1,0.0,0.1,-2.7,0.30000000000000004,9.5,-1.9,-1.2000000000000002,0.7,16
20,368.0,0.2,-0.1,0.1,-2.6,0.2,9.600000000000001,-0.7,-0.2,0.8,16
21,384.0,0.2,-0.2,0.2,-2.5,0.2,9.600000000000001,0.5,1.1,0.1,16
